"# of Use","# Penggunaan"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s dan diatas"
"Attrribute names can be specified per store.","Nama atribut bisa ditentukan per toko."
"Autogenerate","Autogenerate"
"Availability:","Ketersediaan:"
"Back","Kembali"
"Backend Model","Backend Model"
"Backend Table","Backend Tabel"
"Backend Table Title","Judul Backend Tabel"
"Backorders","Backorders"
"Based On","Berdasarkan"
"Before Order Confirmation","Sebelum Konfirmasi Pemesanan"
"Best Value","Nilai Terbaik"
"Block after Info Column","Block setelah Kolom Info"
"Bottom Block Options Wrapper","Opsi Block Bawah Wrapper"
"Bottom/Left","Bawah/Kiri"
"Bottom/Right","Bawah/Kanan"
"Browse By","Jelajahi Dengan"
"Bundle Items","Item Bundle"
"Buy %1$s","Beli %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Beli %1$s untuk %2$s (%3$s termasuk pajak) masing-masing"
"Buy %1$s for %2$s each","Beli %1$s untuk %2$s masing-masing"
"Cache Lifetime (Seconds)","Cache Seumur hidup (Detik)"
"Cache refresh needed.","Penyegaran cache dibutuhkan."
"Can be Divided into Multiple Boxes for Shipping","Dapat dibagi menjadi beberapa box Untuk pengiriman"
"Can be used only with catalog input type Dropdown","Hanya bisa digunakan dengan input tipe katalog Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya bisa digunakan dengan input tipe katalog Dropdown, Beberapa Pilihan dan Harga"
"Can\'t create image.","Tidak dapat membuat gambar."
"Cancel","Batalkan"
"Cannot create image.","Tidak dapat membuat gambar."
"Cannot create writeable directory '%s'.","Tidak dapat membuat directori yang dapat ditulisi/ubah '%s'."
"Cart Item Attribute","Atribut Item Kantung Belanja"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori Katalog (Anchor)"
"Catalog Category (Non-Anchor)","Kategori Katalog (Non-Anchor)"
"Catalog Category (Without Subcategories)","Kategori Katalog (Tanpa Subkategori)"
"Catalog Category Link","Link Kategori Katalog"
"Catalog New Products List","Katalog Daftar Produk Baru "
"Catalog Price Scope","Katalog Lingkup Harga"
"Catalog Product Compare List","Katalog Daftar Perbandingan Produk"
"Catalog Product Email to a Friend","Katalog Produk Email ke Teman"
"Catalog Product Image Gallery Popup","Katalog Produk Popup Galeri gambar"
"Catalog Product Link","Link Katalog Produk"
"Catalog Product View (Any)","Tinjau Katalog Produk (Apapun)"
"Catalog Product View (Configurable)","Tinjau Katalog Produk (Dikonfigurasi)"
"Catalog Product View (Grouped)","Tinjau Katalog Produk (Grup)"
"Catalog Product View (Simple)","Tinjau Katalog Produk (Simple)"
"Catalog Product View (Virtual)","Tinjau Katalog Produk (Virtual)"
"Catalog Section","Bagian Katalog"
"Catalog Seo Sitemap (Category List)","Seo Sitemap Katalog (Daftar Kategori)"
"Catalog Seo Sitemap (Category Tree)","Seo Sitemap Katalog (Turunan Kategori)"
"Catalog Seo Sitemap (Common)","Seo Sitemap Katalog (Umum)"
"Catalog Seo Sitemap (Product List)","Seo Sitemap Katalog (Daftar Produk)"
"Catalog URL Rewrites","URL Rewrites Katalog"
"Catalog product custom option values API","Katalog Nilai Opsi Custom Produk API"
"Catalog product custom options API","Katalog Opsi Custom Produk API"
"Catalog, Search","Katalog, Pencarian"
"Categories","Kategori"
"Categories Sitemap","Kategori Sitemap"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Kategori Data"
"Category Flat Data","Kategori Flat Data"
"Category Link Block Template","Kategori Link Block Template"
"Category Link Inline Template","Kategori Link Inline Template"
"Category Products","Kategori Produk"
"Category Top Navigation","Kategori Navigasi Atas"
"Category URL Suffix","Kategori Akhiran URL"
"Category attributes API","Kategori API Atribut"
"Category move error","Kategori kesalahan langkah"
"Category move error %s","Kategori kesalahan pergerakan %s"
"Category move operation is not possible: parent category is equal to child category.","Operasi pergerakan kategori tidak memungkinkan: parent kategori setara dengan child kategori."
"Category move operation is not possible: the current category was not found.","Operasi pergerakan kategori tidak memungkinkan: kategori saat ini tidak ditemukan."
"Category move operation is not possible: the new parent category was not found.",Operasi pergerakan kategori tidak memungkinkan: parent kategori baru tidak ditemukan."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori harus merupakan instansi dari Mage_Catalog_Model_Category."
"Center","Pusat"
"Change","Ubah"
"Change or Retrieve attribute store view","Ubah atau Ambil atribut tampilan toko"
"Change status","Ganti status"
"Check items to add to the cart or","Centang item untuk ditambahkan kedalam kantung belanja atau"
"Choose an Option...","Pilih Opsi..."
"Clear All","Bersihkan Semua"
"Clear Price","Bersihkan Harga"
"Click for price","Klik untuk Harga"
"Close Window","Tutup Jendela"
"Collapse All","Tutup Semua"
"Comma-separated.","Dipisahkan-koma."
"Comparable","Sebanding"
"Comparable on Front-end","Disebandingkan pada Front-end"
"Comparable on the Frontend","Disebandingkan pada Frontend"
"Compare","Bandingkan"
"Compare Products","Bandingkan Produk"
"Conditions Combination","Kondisi Kombinasi"
"Configurable Product","Konfigurasi Produk"
"Configurable Product Settings","Konfigurasi Pengaturan Produk"
"Configure Product","Konfigurasi Produk"
"Continue","Lanjutkan"
"Copy From Configurable","Salin dari Konfigurasi"
"Country/State","Negara"
"Create","Buat"
"Create (Upload)","Buat (Unggah)"
"Create Empty","Buat Kosong"
"Create Permanent Redirect for URLs if URL Key Changed","Buat Pengalihan Permanen untuk URLs jika URL Key Berubah"
"Create Permanent Redirect for old URL","Buat Pengalihan Permanen untuk URL lama"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Produk Terkait yang Sederhana"
"Create attribute set based on another set","Buat set atribut berdasar lain"
"Create new attribute","Buat atribut baru"
"Create new category","Buat kategori baru"
"Create new product","Buat produk baru"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Saat ini Belanja oleh:"
"Custom Design","Design Custom"
"Custom Options","Opsi Custom"
"Custom options","Opsi custom"
"Customer Group","Grup Pelanggan"
"Customers Reviews","Ulasan Pelanggan"
"Customers Tagged Product","Produk yang Ditandai Pelanggan"
"Data Type for Saving in Database","Tipe Data untuk Menyimpan dalam Database"
"Date & Time Custom Options","Waktu & Tanggal Opsi Custom"
"Date Fields Order","Fields Tanggal Pesanan"
"Date Subscribed","Tanggal Berlangganan"
"Datetime","Tanggal Waktu"
"Decimal","Desimal"
"Declare attribute value saving scope","Deklarasikan lingkup penyimpanan nilai atribut"
"Default ""What's This"" Text Message","Standar ""Apa Ini"" Pesan Teks"
"Default Popup Text Message","Standar Popup Teks Pesan"
"Default Price","Standar Harga"
"Default Price Navigation Step","Standar Langkah Navigasi Harga"
"Default Qty","Kondisi awal Qty"
"Default Values","Nilai Awal"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definisikan dasar lingkup mata uang (""Penyiapan mata uang"" > ""Opsi Mata uang"" > ""Mata uang dasar"")."
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Set Atribut"
"Delete Category","Hapus Kategori"
"Delete Group Price","Hapus Grup Harga"
"Delete Option","Hapus Opsi"
"Delete Row","Hapus Baris"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Grup yang Terpilih"
"Delete Tier","Hapus Tingkatan"
"Delete attribute","Hapus atribut"
"Delete category","Hapus kategori"
"Delete product","Hapus produk"
"Depends on design theme","Bergantung pada tema design"
"Design","Design"
"Details","Detail"
"Disabled","Dimatikan"
"Disallowed file type.","Tipe file yang tidak diizinkan."
"Display Actual Price","Tampilkan harga sebenarnya"
"Display Page Control","Tampilkan Kontrol Halaman"
"Display Price Interval as One Price","Tampilkan Jenjang Harga sebagai Satu Harga"
"Display Product Count","Tampilkan Perhitungan Produk "
"Display Type","Tipe Tampilan"
"Display in Suggested Terms","Tampilan pada Istilah yang Disarankan"
"Double click on a group to rename it","Double klik pada grup untuk mengubah nama"
"Double click on above image to view full picture","Double klick pada gambar diatas untuk melihat gambar utuh"
"Downloadable Information","Informasi yang bisa Diunduh"
"Duplicate","Salin"
"Duplicate website group price customer group.","Salin website grup harga di group pelanggan."
"Duplicate website tier price customer group and quantity.","Salin website tingkatan harga grup pelanggan dan kuantitas."
"Duplicate website, country and state tax found.","Salin website, pajak negara ditemukan."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/gambar.jpg""}} {{skin url=""path/to/gambar.gif""}}. Arahan dinamis menguraikan dampak kinerja katalog."
"Edit","Edit"
"Edit Attribute Set '%s'","Edit Set Atribut '%s'"
"Edit Product Attribute","Edit Atribut Produk"
"Edit Product Attribute ""%s""","Edit Atribut Produk ""%s"""
"Edit Search","Edit Pencarian"
"Edit Search '%s'","Edit Pencarian '%s'"
"Edit Set Name","Edit Nama Set"
"Email","Email"
"Email to a Friend","Email ke Teman"
"Empty","Kosong"
"Enable MAP","Nyalakan MAP"
"Enable Qty Increments","Nyalakan kenaikan Qty"
"Enable WYSIWYG","Nyalakan WYSIWYG"
"Enable for reindexing a big number of SKUs.","Nyalakan untuk mengindeks sejumlah besar SKUs."
"Enabled","Diaktifkan"
"Error during retrieval of option value: %s","Kesalahan selama pengambilan nilai opsi: %s"
"Exclude","Pengecualian"
"Expand All","Mengembangkan Semua"
"Failed","Gagal"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Gagal menyalin file %s. Mohon, hapus media yang memiliki gambar yang tidak ada dan coba lagi."
"Failed to move file: %s","Gagal memindahkan file: %s"
"Feature Products","Fitur Produk"
"Field is not complete","Field tidak lengkap"
"File options format is not valid.","Format opsi file tidak valid."
"File upload failed","Gagal menggunggah file"
"Filter model name must be declared.","Nama model filter harus dinyatakan."
"Filter must be an object. Please set correct filter.","Filter haruslah sebuah obyek. mohon set filter yang tepat."
"Filterable (no results)","Dapat difilter (tidak ada hasil)"
"Filterable (with results)","Dapat difilter (dengan hasil)"
"First Name","Nama Depan"
"Fixed","Disesuaikan"
"For internal use.","Untuk penggunaan pribadi."
"For the last time placed.","Untuk terakhir kalinya ditempatkan."
"Frontend","Frontend"
"Frontend Model","Model Frontend"
"Frontend Properties","Properti Frontend"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get full information about attribute with list of options","Dapatkan informasi penuh mengenai attribute dengan daftar opsi"
"Get full information about custom option in product","Dapatkann informasi penuh mengenai opsi custom dalam produk"
"Get list of available custom option types","Dapatkan daftar tipe opsi custom yang tersedia"
"Get list of non-default attributes by product type and attributes set","Dapatkan Daftar bukan atribut awal oleh tipe produk dan set atribut"
"Get list of possible attribute types","Dapatkan daftar kemungkinan tipe atribut"
"Get special price","Dapatkan harga spesial"
"Global","Global"
"Globally Editable","Dapat diedit secara Global"
"Go to Home Page","Menuju ke Halaman Utama"
"Grid","Grid"
"Group add","Tambah grup"
"Group remove","Hapus grup"
"Grouped Product","Produk ter-grup"
"Groups","Grup"
"Home","Utama"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jika kosong, Nama kategori akan digunakan"
"If empty, the Product Name will be used","Jika kosong, Nama produk akan digunakan"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jika anda tidak menentukan nilai opsi untuk tampilan toko tertentu maka nilai awal (Admin) akan digunakan."
"Image","Gambar"
"Image content is not valid base64 data.","Konten Gambar bukanlah data base64 yang valid."
"Image does not exist.","Gambar tidak ada."
"Image file was not found.","File gambar tidak ditemukan."
"Image type and information need to be specified for each store view.","Tipe gammbar dan informasi butuh ditentukan untuk masing-masing tampilan toko."
"In Cart","Dalam Kantung Belanja"
"In Stock","Dalam Stok"
"In stock","Dalam Stok"
"Incl. Tax","Termasuk Pajak"
"Index product and categories URL rewrites","Indeks pkategori dan produk URL rewrites"
"Index product attributes for layered navigation building","Indeks atribut produk untuk pendirian navigasi berlapis"
"Index product prices","Indeks harga produk"
"Indexed category/products association","Gabungan kategori/produk terindeks"
"Info","Info"
"Info Column Options Wrapper","Kolom info opsi Wrapper"
"Input Type","Tipe Masukan"
"Integer","Integer"
"Interval Division Limit","Batas Jeda Divisi"
"Invalid Tier Prices","Tingkatan Harga Tidak Valid"
"Invalid attribute %s","Atribut tidak valid %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opsi atribut tidak valid ditentukan untuk atribut %s (%s), arsip dilewati."
"Invalid attribute set specified, skipping the record.","Atribut set yang ditentukan tidak valid, arsip dilewati."
"Invalid block: %s.","Block tidak valid: %s."
"Invalid category IDs.","ID kategori tidak valid."
"Invalid category.","Kategori tidak valid."
"Invalid image file type.","Tipe file gambar tidak valid."
"Invalid image type.","Tipe gambar tidak valid."
"Invalid option ID specified for %s (%s), skipping the record.","Opsi ID yang tidak valid ditetapkan untuk %s (%s), arsip dilewati."
"Invalid product type specified, skipping the record.","Tipe produk tidak valid ditetapkan, arsip dilewati."
"Invalid store specified","Ketidak validan toko ditentukan"
"Invalid store specified, skipping the record.","Ketidak validan toko ditentukan, arsip dilewati."
"Invalid tier prices. The product is not associated to the requested website.","Tingkatan harga tidak valid. Produk tidak terhubung pada permintaan website."
"Inventory","Persediaan"
"Is Default","Kondisi Awal"
"Is Required","Wajib"
"Items %s to %s of %s total","Item %s ke %s dari %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Item yang tidak ingin anda tunjukan di katalog atau hasil pencarian harus memiliki status 'Dimatikan' pada toko yang diinginkan."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Item yang tidak ingin anda tunjukan di katalog atau hasil pencarian harus memiliki status 'Dimatikan' pada toko yang diinginkan."
"Keep your eyes open for our special Back to School items and save A LOT!","Ikuti perkembangan untuk item spesial Kembali ke Sekolah kami dan hemat BANYAK!"
"Label","Label"
"Last Name","Nama Belakang"
"Last Notification","Notifikasi Terakhir"
"Layered Navigation","Navigasi Berlapis"
"Learn More","Pelajari Lebih Banyak"
"Line %d, Email: %s","Baris %d, Email: %s"
"Line %d, SKU: %s","Baris %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Terkait, Up sell, Cross sell)"
"Link product does not exist.","Link produk tidak ada."
"Link to a Specified Category","Link menuju kategori tertentu"
"Link to a Specified Product","Link menuju produk tertentu"
"List","Daftar"
"List Mode","Mode Daftar"
"List of Products that are set as New","Daftar Produk yang diset sebagai Produk Baru"
"List of types","Daftar Tipe"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Attributes","Kelola Atribut-atribut"
"Manage Catalog Categories","Kelola Kategori Katalog"
"Manage Categories","Kelola Kategori"
"Manage Label / Options","Kelola Label / Opsi"
"Manage Options (values of your attribute)","Kelola Opsi (Nilai dari atribut anda)"
"Manage Product Attributes","Kelola Atribut Produk"
"Manage Product Sets","Kelola Set Produk"
"Manage Products","Kelola Produk-produk"
"Manage Stock","Kelola Stok"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dsb.)"
"Max Characters","Maksimal Karakter"
"Maximal Depth","Kedalaman Maksimal"
"Maximum Image Size","Ukuran Gambar Maksimal"
"Maximum Number of Price Intervals","Jumlah Selang Harga Maksimal"
"Maximum Qty Allowed in Shopping Cart","Qty Maksimal yang Dibolehkan pada Kantung Belanja"
"Maximum allowed image size for '%s' is %sx%s px.","Maksimal ukuran gambar yang diperbolehkan untuk '%s' adalah %sx%s px."
"Maximum image height","Tinggi maksimal gambar"
"Maximum image width","Lebar Maksimal gambar"
"Maximum number of characters:","Jumlah maksimal karakter:"
"Maximum number of price intervals is 100","Maksimal jumlah selang harga adalah 100"
"Media Image","Media Gambar"
"Minimum Advertised Price","Minimal Harga Periklanan"
"Minimum Lines per Page","Baris Minimal per Halaman"
"Minimum Qty Allowed in Shopping Cart","Qty Minimal yang Dibolehkan pada Kantung Belanja"
"Minimum Qty for Item\'s Status to be Out of Stock","Qty Minimal untuk Status Item menjadi Persediaan Habis"
"Missing SKU, skipping the record.","SKU Hilang, Arsip dilewati."
"More Views","Tinjau Lainnya"
"Move","Pindahkan"
"Move category in tree","Pindahkan Kategori pada tree"
"Must be in the allowed values list.","Harus berada pada daftar nilai yang diizinkan."
"N/A","Tidak Tersedia"
"Name","Nama"
"Name in %s","Nama pada %s"
"New Product","Produk Baru"
"New Product Attribute","Atribut Produk Baru"
"New Products","Produk baru"
"New Products Grid Template","Template Grid Produk Baru"
"New Products List Template","Daftar Template Produk Baru"
"New Root Category","Kategori Sumber Baru"
"New Search","Pencarian Baru"
"New Set Name","Set Nama Baru"
"New Subcategory","Subkategori Baru"
"New products","Produk Baru"
"Next","Selanjutnya"
"No","Tidak ada"
"No image","Tidak ada Gambar"
"No layout updates","Tidak ada perbaharuan tampilan"
"No options of this product are available.","Tidak ada opsi tersedia untuk produk ini."
"No product collections found.","Tidak ada kumpulan produk ditemukan."
"None","Tidak ada"
"Not Visible Individually","Tidak Terlihat Secara Individu"
"Notify Low Stock RSS","Beritahu Stok Sedikit RSS"
"Notify for Quantity Below","Beritahu Kuantitas Di bawah"
"Number of Products per Page","Jumlah Produk per Halaman"
"Number of Products to Display","Jumlah Produk yang akan Ditampilkan"
"Number of Uses","Jumlah Penggunaan"
"Number of results","Jumlah Hasil"
"Number of results (For the last time placed)","Jumlah hasi; (Untuk terakhir kali ditempatkan)"
"OK","OK"
"OR","ATAU"
"Old Price:","Harga Lama:"
"On Gesture","Pada Gesture"
"Option validation failed to add product to cart.","Terjadi kegagalan memvalidasi Opsi untuk menambahkan produk kedalam kantung belanja."
"Option values","Nilai Opsi"
"Option:","Opsi:"
"Options","Opsi"
"Options Control","Kontol Opsi"
"Options is required","Opsi diwajibkan"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Layanan Pelanggan kami tersedia selama 24/7. Hubungi kami pada (555) 555-0123."
"Out of Stock","Persediaan Habis"
"Out of stock","Persediaan habis"
"PM","PM"
"Page Title Separator","Pemisah Judul Halaman"
"Parent Category","Parent Kategori"
"Pending","Tunda"
"Pending Reviews RSS","Tunda Ulasan RSS"
"Percentage","Persentasi"
"Please add rows to option.","Tambahkan baris pada opsi."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Dimohon untuk berhati-hati karena sekali anda mengklik baris akan kemudian memuat paket data dari file yang dipilih dan semua form yang tidak di save akan hilang."
"Please click on the Close Window button if it is not closed automatically.","Mohon klik pada tombol tutup jendela jika tidak tertutup secara otomatis."
"Please enter a new group name","Silahkan masukan nama grup"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Mohon segarkan ""Katalog URL Rewrites"" dan ""Produk Atribut"" dalam sistem -&gt; <a href=""%s"">Kelola Indeks</a>"
"Please select a static block ...","Silahkan pilih block statis ..."
"Please select items.","Silahkan pilih item."
"Please select one or more attributes.","Silahkan pilih satu atau lebih atribut."
"Please select product(s).","Silahkan pilih produk(s)."
"Please select products for attributes update","Silahkan tentukan produk untuk pembaharuan atribut"
"Please specify date required option(s).","Silahkan tentukan tanggal opsi wajib(s)."
"Please specify the number of products, that will not be divided into subintervals.","Silahkan tentukan jumlah produk, yang tidak akan terbagi kedalam subinterval."
"Please specify the product required option(s)","Silahkan tentukan opsi produk wajib(s)"
"Please specify the product required option(s).","Silahkan tentukan opsi produk wajib(s)."
"Please specify the product\'s option(s).","Silahkan tentukan opsi produk(s)."
"Please specify the product\'s required option(s).","Silahkan tentukan opsi produk wajib(s)."
"Please specify the quantity of product(s).","Silahkan tentukan kuantitas produk(s)."
"Please specify time required option(s).","Silahkan tentukan opsi waktu wajib(s)."
"Please wait...","Mohon tunggu..."
"Position","Posisi"
"Position in Layered Navigation","Posisi pada Navigasi Berlapis"
"Position of attribute in layered navigation block","Posisi dari atribut dalam block navigasi berlapis"
"Prev","Sebelumnya"
"Previous","Sebelumnya"
"Price","Harga"
"Price Navigation Step Calculation","Perhitungan Langkah Navigasi Harga"
"Price Type","Tipe Harga"
"Price is not available","Harga tidak tersedia"
"Price values for options should be specified in system base currency.","Nilai Harga untuk opsi haruskan ditentukan dalam sistem mata uang dasar."
"Price:","Harga:"
"Price: %s","Harga: %s"
"Print This Page","Cetak Halaman Ini"
"Product","Produk"
"Product API","Produk API"
"Product Alerts","Peringatan Produk"
"Product Attribute","Produk Atribut"
"Product Attributes","Produk Atribut"
"Product Categories","Kategori Produk"
"Product Description","Deskripsi Produk"
"Product Extra Info","Info Produk Tambahan"
"Product Flat Data","Data Flat Produk"
"Product ID","ID Produk"
"Product Image Placeholders","Tempat Gambar Produk"
"Product Image Watermarks","Watermark Gambar Produk"
"Product Images","Gambar Produk"
"Product Images API","Gambar Produk API"
"Product In Websites","Produk pada Website"
"Product Info Column","Kolom Info Produk"
"Product Information","Informasi Produk"
"Product Link Block Template","Template Block Link Produk"
"Product Link Inline Template","Template Inline Link Produk"
"Product Listing Sort by","Pengurutan Daftar Produk"
"Product Name","Nama Produk"
"Product Prices","Harga Produk"
"Product Reviews","Tinjauan Produk"
"Product Tags","Tag Produk"
"Product Tier Price API","Tingkatan harga Produk API"
"Product Type","Tipe Produk"
"Product URL Suffix","Produk Akhiran URL"
"Product View Extra Hint","Petunjuk Tambahan Tinjauan Produk"
"Product attribute sets API","Set atribut produk API"
"Product attributes API","Atribut produk API"
"Product collection expected.","Kumpulan Produk Diharapkan."
